Control_Count,Date_Replied,Status,Unique_identifier,Likely_to_recommend_Online_Site_MY_SITE,Purchased_from_Site_A,Purchased_from_Site_B,Purchased_from_Site_C,Purchased_from_Site_D,Purchased_from_Site_E,Purchased_from_Site_F,Purchased_from_Site_G,Purchased_from_Site_H,Purchased_from_Site_I,Purchased_from_Site_J,Purchased_from_Site_K,Purchased_from_Site_L,Purchased_from_Site_M,Purchased_from_Site_N,Purchased_from_Site_O,Purchased_from_Site_P,Purchased_from_Site_Q,Purchased_from_Site_R,Purchased_from_Site_S,Purchased_from_Site_T,Purchased_from_Site_U,Purchased_from_Site_V,Purchased_from_Site_W,Purchased_from_Site_X,Purchased_from_Site_Y,Purchased_from_MY_SITE_only,No_of_Online_Sites_used,MYSITE_Rank,Sales_reps_Responsiveness,Sales_reps_ease_of_making_contact,Sales_reps_general_attitude,Sales_reps_quotation,Sales_reps_relationship,Sales_reps_overall_satisfaction,Customer_service_Responsiveness,Customer_service_Ease_of_making_contact,Customer_service_general_attitude,Customer_service_Knowledge_of_business,Customer_service_issue_resolution,Customer_service_keeping_customers_informed,Customer_service_Overall_satisfaction,Delivery_on_time_schedules,Delivery_on_time_coverage,Delivery_on_time_keeping_customers_informed,Delivery_on_time_accuracy_transit_time,Delivery_on_time_availability_of_products,Delivery_on_time_speed,Delivery_on_time_Overall_satisfaction,Ease_of_business_booking,Ease_of_business_documentation,Ease_of_business_invoicing,Ease_of_business_online_system,Ease_of_business_overall_satisfaction,Improving_business_opps_knowledge_of_business,Improving_business_opps_understanding_of_needs,Improving_business_opps_demonstrating_opps,Improving_business_opps_specific_offers,Improving_business_opps_overall_satisfaction,Overall_Satisfaction_taking_everything_into_account,Proportion_of_purchase_made_with_MY_SITE,Future_proportion_of_purchase_made_at_MY_SITE
Day 2,20-08-2016,COMPLETED,601315024863257,3,,1,1,,,1,,1,1,,,,,,1,,1,,,,1,,1,1,,,11,5,3,6,6,6,6,5,7,8,7,5,4,6,6,8,8,5,10,4,8,7,99,7,3,9,7,6,6,2,99,5,3,Don’t know,Decrease
Day 2,20-08-2016,COMPLETED,961315025365336,10,1,1,,,1,1,,1,,,,,,,1,,,1,,,1,1,1,,,,11,1,8,9,10,10,10,10,10,10,10,7,10,9,10,8,10,6,7,7,8,8,9,8,9,9,9,10,10,10,9,10,10,Prefer not to say,Increase
Day 2,20-08-2016,COMPLETED,541315028453240,8,,1,,1,,,1,,1,,,,,1,1,1,,1,1,,,,,,,,10,2,4,5,6,4,6,6,4,6,8,8,4,5,8,4,6,2,3,6,5,6,5,5,4,5,5,8,8,8,7,7,7,26% to 50%,Don’t know
Day 2,20-08-2016,COMPLETED,901315030610304,9,,1,1,,,1,,,1,,,,,,1,,,,1,1,,,,,,,8,2,8,9,9,8,10,10,9,9,9,9,9,9,9,8,9,9,8,9,9,9,9,9,7,9,9,8,9,8,9,7,8,16% to 25%,Increase
Day 2,20-08-2016,COMPLETED,81315031044330,7,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,5,5,5,5,5,5,7,5,6,6,7,6,3,6,8,8,8,7,7,8,7,8,4,9,7,7,6,6,6,6,8,Don’t know,Stay the same
Day 2,20-08-2016,COMPLETED,131315034640228,9,1,1,,,,1,,,1,,,,,,1,,1,,,,1,1,1,1,,,11,2,8,8,8,7,9,9,7,8,8,7,7,7,7,8,7,3,8,7,8,8,9,7,7,9,8,7,7,7,7,7,8,26% to 50%,Increase
Day 2,20-08-2016,COMPLETED,141315037145165,10,,1,1,,1,1,,,1,,1,,,1,,1,1,,,1,,,1,1,,,13,5,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,9,10,10,9,10,9,9,9,9,9,9,9,9,9,9,10,6% to 15%,Increase
Day 2,20-08-2016,COMPLETED,771315037207198,9,1,1,,,,1,1,1,,1,,,,1,1,1,1,,,,,,,,1,,12,5,8,8,8,8,7,8,9,8,9,7,8,7,8,9,9,8,8,9,8,9,10,10,10,10,10,9,8,8,8,8,9,6% to 15%,Increase
Day 2,20-08-2016,COMPLETED,741315037211279,10,1,1,,,,1,1,,1,,,,,,1,,,1,,,1,,,,,,9,1,7,6,8,8,7,7,7,6,7,6,6,7,7,7,10,9,6,6,7,8,8,8,7,7,8,7,7,8,7,8,8,51% to 75%,Stay the same
Day 2,20-08-2016,COMPLETED,311315037493219,10,,1,,,,1,,,,,,,,,,,,,,1,,,1,,,,5,1,7,7,10,7,10,7,7,10,10,7,7,7,7,10,10,7,7,10,10,7,10,10,7,10,9,7,7,7,7,7,9,76% to 99%,Increase
Day 2,20-08-2016,COMPLETED,321315038098223,7,1,1,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,8,3,8,9,8,8,9,8,8,7,8,8,8,7,9,8,8,8,8,8,8,9,8,9,8,9,8,8,8,8,9,8,9,26% to 50%,Stay the same
Day 2,20-08-2016,COMPLETED,191315039164289,8,,1,,,,1,,,1,,,,,,1,1,,,1,,,,,,,,7,1,99,99,99,99,99,99,4,5,3,7,5,5,6,9,8,8,8,99,8,8,99,99,99,9,9,99,99,99,7,99,8,Prefer not to say,Increase
Day 2,20-08-2016,COMPLETED,811315039196284,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,99,99,99,99,99,99,2,2,3,3,2,3,2,5,5,4,3,5,4,4,2,2,2,2,2,99,99,99,99,99,4,16% to 25%,Decrease
Day 3,21-08-2016,COMPLETED,861315000075323,8,1,,,,1,,,1,,1,,,,,,1,1,,,,,,,,,,7,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,7,8,8,8,8,8,8,8,8,8,8,8,8,26% to 50%,Don’t know
Day 3,21-08-2016,COMPLETED,691315000149275,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,2,1,5,0,0,0,0,0,0,0,0,5,9,0,2,10,6,5,9,7,10,8,6,4,3,2,0,4,6,16% to 25%,Decrease
Day 3,20-08-2016,COMPLETED,21315000295156,10,1,1,,,,1,,1,1,,1,,,,1,,1,,,,1,,1,1,,,12,1,10,10,10,10,10,10,10,10,10,9,9,10,10,8,8,8,7,8,8,9,10,9,9,10,10,10,10,9,10,9,10,51% to 75%,Increase
Day 3,21-08-2016,COMPLETED,521315000843366,5,1,1,,,,,,1,1,1,1,,,1,1,1,1,,1,,1,1,,1,,,15,9,6,6,6,6,6,2,4,1,4,1,0,0,1,7,9,1,9,9,9,9,7,2,0,7,1,5,5,5,5,2,3,6% to 15%,Stay the same
Day 3,21-08-2016,COMPLETED,911315000979367,10,,,,,,,1,,1,1,,,,,1,,,,,,,,,,,,5,1,10,10,10,10,10,10,4,4,5,5,5,4,5,6,9,8,7,9,8,8,9,7,6,8,7,10,10,10,10,10,9,76% to 99%,Increase
Day 3,21-08-2016,COMPLETED,501315001094152,10,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,1,10,9,10,9,10,10,9,9,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,51% to 75%,Prefer not to say
Day 3,20-08-2016,COMPLETED,681315001101373,5,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,4,4,2,6,1,99,1,1,9,9,9,5,0,3,5,5,99,1,9,9,9,5,1,3,3,1,1,99,99,99,99,99,5,51% to 75%,Decrease
Day 3,21-08-2016,COMPLETED,851315001155348,9,1,1,,,1,1,1,,1,,1,,,,1,,,,,,1,,1,,,,11,2,8,7,9,7,9,9,9,10,10,9,8,9,10,9,9,8,8,9,99,7,10,6,5,8,8,9,9,99,8,99,8,51% to 75%,Increase
Day 3,21-08-2016,COMPLETED,91315001156359,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,1,4,2,5,1,3,4,1,1,3,2,3,0,4,1,8,2,7,4,8,8,4,3,2,4,6,3,3,3,2,5,5,51% to 75%,Increase
Day 3,20-08-2016,COMPLETED,691315001207202,4,,1,,,,,,1,1,,,,,1,1,,,,1,1,1,,1,,,,10,4,3,3,2,6,6,6,3,1,3,3,3,6,1,6,6,3,5,6,6,5,5,4,5,5,4,2,2,3,2,2,4,16% to 25%,Decrease
Day 3,21-08-2016,COMPLETED,81315001317321,9,,1,,,1,1,,,1,1,,,,,,,1,,1,1,,,1,1,,,11,1,99,99,99,99,99,99,9,9,9,7,9,9,9,9,9,9,9,9,9,9,99,99,7,8,9,8,8,8,8,8,9,Don’t know,Increase
Day 3,20-08-2016,COMPLETED,941315001327324,5,,1,1,,,,,,,,,,,,1,,,1,,,,,,1,1,,7,5,4,3,5,5,3,4,4,3,99,4,5,6,5,6,5,6,6,6,7,5,5,5,99,6,5,5,6,7,6,5,5,6% to 15%,Stay the same
Day 3,20-08-2016,COMPLETED,461315001655353,8,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,1,2,5,1,5,3,1,2,2,3,99,99,1,9,10,9,9,99,99,10,5,3,99,99,5,6,3,2,4,3,6,Don’t know,Don’t know
Day 3,20-08-2016,COMPLETED,701315001658391,0,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,5,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,Prefer not to say,Prefer not to say
Day 3,21-08-2016,COMPLETED,961315001757377,7,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,,Stay the same
Day 3,21-08-2016,COMPLETED,781315001797236,3,,1,,1,1,1,1,,1,,1,,,1,1,,,1,1,,,,,,,,12,10,99,99,99,99,99,99,7,4,7,5,5,5,5,99,99,5,99,99,99,99,99,4,5,4,4,99,99,99,99,99,5,Don’t know,Don’t know
Day 3,20-08-2016,COMPLETED,431315001810232,8,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,4,1,7,7,8,6,8,8,7,7,8,7,8,5,8,8,8,5,8,8,8,8,99,99,7,7,8,9,9,8,9,6,8,51% to 75%,Increase
Day 3,20-08-2016,COMPLETED,461315001835122,4,1,,,,,,,,1,,,,,,,,,,,,,,,,,,3,2,0,0,0,0,0,0,9,9,9,9,9,9,9,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,6,26% to 50%,Stay the same
Day 3,20-08-2016,COMPLETED,51315001867158,7,,,,1,,,1,,,,,,,1,1,,1,,1,,,,,1,,,8,1,5,6,6,7,8,7,9,8,10,6,8,10,9,9,9,9,8,9,8,9,10,10,10,10,10,7,7,8,7,8,9,26% to 50%,Increase
Day 3,20-08-2016,COMPLETED,381315001982124,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,2,9,9,10,10,9,9,9,10,10,9,9,9,10,4,10,3,3,3,2,5,4,10,9,10,2,9,8,8,7,8,0,26% to 50%,Decrease
Day 3,21-08-2016,COMPLETED,441315002017178,6,,1,1,,,,,1,1,,,,,1,,,,,,,,,,,,,6,,7,7,8,6,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,3,4,5,16% to 25%,Stay the same
Day 3,20-08-2016,COMPLETED,681315002126229,9,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,4,1,10,10,10,10,10,10,10,10,10,10,10,10,10,9,7,8,8,8,8,8,8,9,8,6,8,8,8,8,8,8,8,51% to 75%,Increase
Day 3,20-08-2016,COMPLETED,571315002340200,7,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,16,3,9,8,9,99,8,8,6,6,7,6,7,6,6,9,9,9,9,7,9,9,99,3,99,3,4,7,9,9,7,8,8,51% to 75%,Decrease
Day 3,20-08-2016,COMPLETED,821315002357376,10,,1,1,,,,,1,1,,1,,,1,1,1,,,1,,1,,,1,,,12,1,9,9,9,9,10,9,9,9,9,9,9,9,9,9,10,9,9,9,9,9,10,9,9,9,10,10,10,7,9,10,9,51% to 75%,Stay the same
Day 3,20-08-2016,COMPLETED,241315002611377,8,1,,,1,,1,1,,1,1,,,,1,1,1,1,,,,,1,1,,,,13,3,5,8,8,8,9,9,9,9,9,3,5,9,9,8,8,5,6,2,2,5,9,5,5,7,5,2,7,7,2,4,6,6% to 15%,Stay the same
Day 3,20-08-2016,COMPLETED,91315002774370,10,1,1,,,,,,,1,,,,,1,1,1,,,,,,,,,,,7,2,6,6,7,7,7,8,8,8,7,7,7,7,7,6,8,7,6,6,8,9,8,10,7,8,9,7,6,7,7,7,8,26% to 50%,Increase
Day 3,21-08-2016,COMPLETED,781315002807171,8,1,1,,,1,1,1,,1,1,1,,,1,1,1,1,,1,,,1,1,,,,16,4,10,9,10,10,10,9,10,10,10,10,9,10,10,10,10,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,6% to 15%,Don’t know
Day 3,21-08-2016,COMPLETED,201315002876288,10,,1,,,,1,,,,,,,,,1,,,,1,1,,,,,,,6,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,51% to 75%,Increase
Day 3,21-08-2016,COMPLETED,451315002912361,6,,1,,,,1,,1,,,1,,,1,,,,,1,,,1,,1,,,9,6,4,3,5,4,5,5,5,5,5,5,5,5,5,9,9,6,9,9,6,8,8,8,8,8,8,99,6,6,99,6,7,1% to 5%,Don’t know
Day 3,21-08-2016,COMPLETED,291315003166348,10,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,,1,1,1,1,,,22,,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,5,Prefer not to say,Prefer not to say
Day 3,20-08-2016,COMPLETED,521315003194219,0,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,1,,1,,,,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prefer not to say,Decrease
Day 3,20-08-2016,COMPLETED,251315003239295,6,1,1,1,,1,1,1,1,1,1,1,,,1,1,1,1,,1,,,1,1,1,,,19,14,99,99,99,99,99,99,6,6,6,6,4,3,6,4,4,3,4,4,4,3,99,3,99,4,3,3,3,99,99,99,5,6% to 15%,Stay the same
Day 3,20-08-2016,COMPLETED,191315003335386,10,1,,,,,1,,,,,1,,,,1,1,1,,,,,,,1,,,8,2,10,9,9,9,10,9,9,9,9,9,8,9,9,10,10,9,10,10,10,10,10,8,7,9,8,9,9,9,9,9,9,16% to 25%,Increase
